election,election_date,precinct_code,precinct_name,contest,contest_resolved,choice,choice_raw,votes,row_type,name_resolved
2026 Primary Election,2026-05-05,0012,Lima 3B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,29,tally,
2026 Primary Election,2026-05-05,0012,Lima 3B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0012,Lima 3B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,5,tally,
2026 Primary Election,2026-05-05,0012,Lima 3B,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,34,tally,
2026 Primary Election,2026-05-05,0013,Lima 3C,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,28,choice,yes
2026 Primary Election,2026-05-05,0013,Lima 3C,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,28,tally,
2026 Primary Election,2026-05-05,0013,Lima 3C,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0013,Lima 3C,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0013,Lima 3C,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,30,tally,
2026 Primary Election,2026-05-05,0014,Lima 4A,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,76,choice,yes
2026 Primary Election,2026-05-05,0014,Lima 4A,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,76,tally,
2026 Primary Election,2026-05-05,0014,Lima 4A,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0014,Lima 4A,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,5,tally,
2026 Primary Election,2026-05-05,0014,Lima 4A,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,81,tally,
2026 Primary Election,2026-05-05,0015,Lima 4B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,58,choice,yes
2026 Primary Election,2026-05-05,0015,Lima 4B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,58,tally,
2026 Primary Election,2026-05-05,0015,Lima 4B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0015,Lima 4B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0015,Lima 4B,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,60,tally,
2026 Primary Election,2026-05-05,0016,Lima 4C,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,42,choice,yes
2026 Primary Election,2026-05-05,0016,Lima 4C,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,42,tally,
2026 Primary Election,2026-05-05,0016,Lima 4C,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0016,Lima 4C,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0016,Lima 4C,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,44,tally,
2026 Primary Election,2026-05-05,0017,Lima 4D,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,82,choice,yes
2026 Primary Election,2026-05-05,0017,Lima 4D,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,82,tally,
2026 Primary Election,2026-05-05,0017,Lima 4D,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0017,Lima 4D,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0017,Lima 4D,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,85,tally,
2026 Primary Election,2026-05-05,0018,Lima 5A,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,22,choice,yes
2026 Primary Election,2026-05-05,0018,Lima 5A,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,22,tally,
2026 Primary Election,2026-05-05,0018,Lima 5A,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0018,Lima 5A,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0018,Lima 5A,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,25,tally,
2026 Primary Election,2026-05-05,0019,Lima 5B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,21,choice,yes
2026 Primary Election,2026-05-05,0019,Lima 5B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,21,tally,
2026 Primary Election,2026-05-05,0019,Lima 5B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0019,Lima 5B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0019,Lima 5B,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,22,tally,
2026 Primary Election,2026-05-05,0020,Lima 5C,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,44,choice,yes
2026 Primary Election,2026-05-05,0020,Lima 5C,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,44,tally,
2026 Primary Election,2026-05-05,0020,Lima 5C,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0020,Lima 5C,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,4,tally,
2026 Primary Election,2026-05-05,0020,Lima 5C,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,48,tally,
2026 Primary Election,2026-05-05,0021,Lima 5D,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,34,choice,yes
2026 Primary Election,2026-05-05,0021,Lima 5D,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,34,tally,
2026 Primary Election,2026-05-05,0021,Lima 5D,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0021,Lima 5D,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,0,tally,
2026 Primary Election,2026-05-05,0021,Lima 5D,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,34,tally,
2026 Primary Election,2026-05-05,0022,Lima 6A,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,51,choice,yes
2026 Primary Election,2026-05-05,0022,Lima 6A,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,51,tally,
2026 Primary Election,2026-05-05,0022,Lima 6A,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0022,Lima 6A,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,4,tally,
2026 Primary Election,2026-05-05,0022,Lima 6A,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,55,tally,
2026 Primary Election,2026-05-05,0023,Lima 6B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,31,choice,yes
2026 Primary Election,2026-05-05,0023,Lima 6B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,31,tally,
2026 Primary Election,2026-05-05,0023,Lima 6B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0023,Lima 6B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0023,Lima 6B,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,34,tally,
2026 Primary Election,2026-05-05,0024,Lima 6C,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,44,choice,yes
2026 Primary Election,2026-05-05,0024,Lima 6C,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,44,tally,
2026 Primary Election,2026-05-05,0024,Lima 6C,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0024,Lima 6C,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,12,tally,
2026 Primary Election,2026-05-05,0024,Lima 6C,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,56,tally,
2026 Primary Election,2026-05-05,0025,Lima 7A,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,80,choice,yes
2026 Primary Election,2026-05-05,0025,Lima 7A,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,80,tally,
2026 Primary Election,2026-05-05,0025,Lima 7A,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0025,Lima 7A,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,8,tally,
2026 Primary Election,2026-05-05,0025,Lima 7A,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,88,tally,
2026 Primary Election,2026-05-05,0026,Lima 7B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,54,choice,yes
2026 Primary Election,2026-05-05,0026,Lima 7B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,54,tally,
2026 Primary Election,2026-05-05,0026,Lima 7B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
