COMPANYNAME,COUNTY,ZIP,PROGRAM,ORIGINAL_ESTIMATED_VALUE,INVESTMENT,STATUS,NEW_JOBS,RETAINED_JOBS,ORIGINAL_APPROVAL_DATE,WITHHOLDING_RATE_PERCENT,PAYROLL_RATE,TERM
Saengerhalle,Hamilton,45202,Ohio Historic Preservation Tax Credit,1091753.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
1818 and 1826 Race Street,Hamilton,45202,Ohio Historic Preservation Tax Credit,1650500.0,N/A,Completed,N/A,N/A,06/24/2014,N/A,N/A,N/A
"Rockfish Interactive, Inc.",Hamilton,45202-1506,JCTC Job Creation Tax Credit,764271.0,740000.00,Cancelled,75,0,12/06/2010,60.00,N/A,7
Broadway Square II,Hamilton,45202,Ohio Historic Preservation Tax Credit,1300000.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
The Procter & Gamble Company,Hamilton,45202,JCTC Job Creation Tax Credit,6669207.0,20000000.00,Completed,336,562,04/26/2010,55.00,N/A,6
PFFA Acquisition LLC,Hamilton,45202,JCTC Job Creation Tax Credit,835330.0,0.00,Servicing,39,2,09/28/2015,N/A,1.524,6
1346 Broadway,Hamilton,45202,Ohio Historic Preservation Tax Credit,73251.0,N/A,Completed,N/A,N/A,05/09/2008,N/A,N/A,N/A
Central Parkway YMCA Residential,Hamilton,45202,Ohio Historic Preservation Tax Credit,1610672.0,N/A,Completed,N/A,N/A,06/02/2015,N/A,N/A,N/A
"Whapps, Llc",Hamilton,45202,JCTC Job Creation Tax Credit,74167.0,50000.00,Servicing,18,26,03/31/2014,N/A,1.405,6
"Curiosity, LLC",Hamilton,45202,JCTC Job Creation Tax Credit,91000.0,50000.00,Servicing,28,38,02/23/2015,N/A,1.171,6
"Custom Pro Logistics, LLC",Hamilton,45202,JCTC Job Creation Tax Credit,170000.0,850000.00,Servicing,40,7,10/31/2016,N/A,0.850,6
515 East 12th Street,Hamilton,45202,Ohio Historic Preservation Tax Credit,195000.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
433 East 13th Street,Hamilton,45202,Ohio Historic Preservation Tax Credit,245000.0,N/A,Completed,N/A,N/A,06/24/2014,N/A,N/A,N/A
1405 Clay Street,Hamilton,45202,Ohio Historic Preservation Tax Credit,180000.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
Garfield Building,Cuyahoga,44114,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Completed,N/A,N/A,06/24/2014,N/A,N/A,N/A
"Siemens Medical Solutions USA, Inc",Cuyahoga,44114,JCTC Job Creation Tax Credit,368044.0,1000000.00,Cancelled,20,0,10/28/2013,50.00,N/A,7
Park Building,Cuyahoga,44114,Ohio Historic Preservation Tax Credit,386521.0,N/A,Cancelled,N/A,N/A,12/22/2011,N/A,N/A,N/A
Ease Logistics Services LLC,Franklin,43017,JCTC Job Creation Tax Credit,710000.0,14750000.00,Servicing,140,145,09/26/2022,N/A,1.395,8
"Fast Switch, LTD",Franklin,43017-3305,JCTC Job Creation Tax Credit,600000.0,225000.00,Completed,75,206,05/21/2018,N/A,1.625,7
"Berkshire Refrigerated Warehousing, LLC",Lorain,44054,JCTC Job Creation Tax Credit,545000.0,24340000.00,Approved,90,0,07/25/2022,N/A,1.462,8
Workstream Inc.,Butler,45014,JCTC Job Creation Tax Credit,55000.0,0.00,Cancelled,45,105,08/30/2017,N/A,0.930,5
"Outerbox Solutions, Inc.",Summit,44321-3121,JCTC Job Creation Tax Credit,235000.0,500000.00,Servicing,50,33,09/30/2019,N/A,1.358,7
Caterpillar Logistics Inc,Montgomery,45315,JCTC Job Creation Tax Credit,1848900.0,65000000.00,Servicing,500,0,12/07/2009,75.00,N/A,10
"Yutzy Woodworking, Ltd.",Holmes,44654,JCTC Job Creation Tax Credit,35414.0,962460.00,Completed,35,107,07/25/2011,35.00,N/A,5
Carlisle Building,Ross,45601,Ohio Historic Preservation Tax Credit,1410500.0,N/A,Completed,N/A,N/A,12/20/2012,N/A,N/A,N/A
"Rosenboom Machine & Tool, Inc.",Wood,43402-4535,JCTC Job Creation Tax Credit,104776.0,1000000.00,Completed,57,131,08/29/2011,40.00,N/A,6
"iMFLUX, Inc.",Butler,45015,JCTC Job Creation Tax Credit,2629515.0,50000000.00,Servicing,221,0,09/30/2013,55.00,N/A,8
Valeo Climate Control Corp.,Butler,45015,JCTC Job Creation Tax Credit,354806.0,14400000.00,Servicing,105,135,05/20/2013,55.00,N/A,7
Systecon Inc.,Butler,45069-3818,JCTC Job Creation Tax Credit,31647.0,2500000.00,Completed,18,64,09/30/2013,35.00,N/A,5
Tekion Corp.,Butler,45069,JCTC Job Creation Tax Credit,1000000.0,0.00,Servicing,103,2,07/26/2021,N/A,1.818,8
"SPINTECH HOLDINGS, INC.",Greene,45385-5670,JCTC Job Creation Tax Credit,150246.0,850000.00,Completed,24,3,10/25/2010,35.00,N/A,5
Vincent Tower,Cuyahoga,44114,Ohio Historic Preservation Tax Credit,1613750.0,N/A,Completed,N/A,N/A,06/26/2012,N/A,N/A,N/A
Robots and Pencils L.P.,Cuyahoga,44114,JCTC Job Creation Tax Credit,830000.0,75000.00,Completed,54,13,06/23/2017,N/A,2.270,7
"Quality Supply Chain Co-Op, Inc.",Franklin,43017-5452,JCTC Job Creation Tax Credit,547415.0,660000.00,Completed,24,20,03/29/2010,50.00,N/A,7
Hyundai Ideal Electric Co.,Richland,44902,JCTC Job Creation Tax Credit,387784.0,9724751.00,Completed,75,220,09/26/2011,45.00,N/A,4
100 Clifton,Hamilton,,Ohio Historic Preservation Tax Credit,202000.0,N/A,Completed,N/A,N/A,06/20/2018,N/A,N/A,N/A
56 East McMicken REAR,Hamilton,,Ohio Historic Preservation Tax Credit,90299.0,N/A,Cancelled,N/A,N/A,08/05/2020,N/A,N/A,N/A
Dayton Arcade-Fourth Street,Montgomery,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Completed,N/A,N/A,06/28/2017,N/A,N/A,N/A
418 E. 12th Street,Hamilton,,Ohio Historic Preservation Tax Credit,210000.0,N/A,Servicing,N/A,N/A,12/19/2019,N/A,N/A,N/A
United Brethren Building,Montgomery,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Cancelled,N/A,N/A,12/20/2016,N/A,N/A,N/A
539 Main St,Coshocton,,Ohio Historic Preservation Tax Credit,62500.0,N/A,Completed,N/A,N/A,06/26/2019,N/A,N/A,N/A
16 West Union,Athens,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Completed,N/A,N/A,06/28/2016,N/A,N/A,N/A
"North American Science Associates, Inc.",Wood,43619-1012,JCTC Job Creation Tax Credit,170183.0,7500000.00,Completed,20,203,09/26/2011,60.00,N/A,7
Resonant Sciences LLC,Greene,45430,JCTC Job Creation Tax Credit,325000.0,2205000.00,Servicing,30,48,07/27/2020,N/A,1.686,7
"Exact Care Pharmacy, LLC",Cuyahoga,44125-6134,JCTC Job Creation Tax Credit,5389000.0,1930000.00,Servicing,338,185,09/26/2016,N/A,1.103,9
"Silfex, Inc.",Preble,45320-9421,JCTC Job Creation Tax Credit,441000.0,5420000.00,Servicing,109,345,08/29/2016,N/A,1.321,7
"EXEL, INC.",Franklin,43228-8923,JCTC Job Creation Tax Credit,55628.0,1500000.00,Completed,55,0,04/25/2011,40.00,N/A,5
"Airstream, Inc.",Shelby,45334-9728,JCTC Job Creation Tax Credit,225245.0,6000000.00,Completed,367,192,01/25/2010,45.00,N/A,8
TSTO Corporation,Montgomery,45439-1530,JCTC Job Creation Tax Credit,116211.0,8550000.00,Completed,25,0,07/27/2009,N/A,N/A,6
Production Control Units Inc,Montgomery,45439-1824,JCTC Job Creation Tax Credit,197833.0,500000.00,Completed,15,44,07/30/2012,35.00,N/A,6
Whirlpool Corporation,Putnam,45875-8627,JCTC Job Creation Tax Credit,820961.0,4396500.00,Servicing,324,0,04/26/2010,55.00,N/A,7
General Motors LLC,Trumbull,44482,JRTC-NR Job Retention Tax Credit Non-Refundable,50429790.0,317300000.00,Completed,N/A,3700,07/28/2008,N/A,N/A,15
General Motors LLC,Trumbull,44482,JCTC Job Creation Tax Credit,4423934.0,317300000.00,Completed,200,3700,07/28/2008,N/A,N/A,15
Purfoods LLC,Mahoning,44451-9628,JCTC Job Creation Tax Credit,102085.0,1400000.00,Completed,100,0,12/05/2011,45.00,N/A,5
The Boys LLC,Franklin,43207,JCTC Job Creation Tax Credit,55000.0,300000.00,Servicing,40,0,12/03/2014,N/A,0.929,6
"Olympic Steel, Inc.",Tuscarawas,44622-3127,JCTC Job Creation Tax Credit,45151.0,3200000.00,Completed,25,0,06/30/2008,N/A,N/A,7
94 East 3rd Avenue,Franklin,43201,Ohio Historic Preservation Tax Credit,140124.0,N/A,Completed,N/A,N/A,06/24/2014,N/A,N/A,N/A
313-15 Chittenden Avenue,Franklin,43201,Ohio Historic Preservation Tax Credit,74142.0,N/A,Completed,N/A,N/A,12/20/2013,N/A,N/A,N/A
Federal Equipment Company,Hamilton,45233,JCTC Job Creation Tax Credit,300000.0,4000000.00,Cancelled,60,110,03/27/2017,N/A,1.398,7
111 W. Main Street,Van Wert,,Ohio Historic Preservation Tax Credit,185000.0,N/A,Servicing,N/A,N/A,06/22/2022,N/A,N/A,N/A
Agora Complex II,Cuyahoga,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,12/14/2021,N/A,N/A,N/A
Dayton Motor Car Building,Montgomery,,Ohio Historic Preservation Tax Credit,1800000.0,N/A,Completed,N/A,N/A,06/20/2018,N/A,N/A,N/A
"Energizer Auto Manufacturing, Inc.",Lake,45377,JCTC Job Creation Tax Credit,617000.0,2900000.00,Servicing,242,103,07/25/2016,N/A,1.217,7
Sierra Nevada Corporation,Montgomery,45377,JCTC Job Creation Tax Credit,2000000.0,0.00,Approved,147,0,01/31/2022,N/A,1.867,10
"Adare Pharmaceuticals, Inc.",Montgomery,45377-3129,JCTC Job Creation Tax Credit,125000.0,14285000.00,Completed,29,234,07/31/2017,N/A,1.283,6
Progressive Casualty Insurance Company,Cuyahoga,44143,Datacenter Tax Exemption,8000000.0,100000000.00,Servicing,15,0,12/10/2018,N/A,N/A,15
Milacron Plastics Technologies Group LLC,Brown,45154-9596,JCTC Job Creation Tax Credit,105511.0,1500000.00,Completed,35,200,12/05/2011,45.00,N/A,6
"Aerocontrolex Group, Inc.",Lake,44077-2918,JCTC Job Creation Tax Credit,195000.0,3800000.00,Servicing,40,130,04/30/2018,N/A,1.392,6
CGI Technologies and Solutions Inc,Athens,45701-7911,JCTC Job Creation Tax Credit,611690.0,100000.00,Completed,16,0,08/27/2012,35.00,N/A,6
"Accel, Inc.",Licking,43054,JCTC Job Creation Tax Credit,113381.0,20015000.00,Completed,25,206,08/30/2010,45.00,N/A,5
"Champlain Enterprises, LLC",Cuyahoga,44070-5333,JCTC Job Creation Tax Credit,1100000.0,300000.00,Servicing,72,135,10/30/2017,N/A,1.844,9
"Prime Equipment Group, Inc.",Franklin,43232,JCTC Job Creation Tax Credit,60000.0,5600000.00,Completed,20,105,06/25/2018,N/A,1.189,6
"Sekisui Plastics USA, Inc.",Hardin,43326,JCTC Job Creation Tax Credit,139819.0,7800000.00,Servicing,50,0,12/03/2014,N/A,1.167,8
"SPS Technologies, LLC",Warren,45040,JCTC Job Creation Tax Credit,3035190.0,128700000.00,Servicing,190,0,12/09/2019,N/A,2.260,10
"Hanon Systems USA, LLC",Wyandot,43316,JCTC Job Creation Tax Credit,684000.0,12470000.00,Servicing,139,0,06/29/2015,55.00,N/A,9
1023 Bridge Street,Ashtabula,44004,Ohio Historic Preservation Tax Credit,69000.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
"GOJO Industries, Inc.",Wayne,44691,JCTC Job Creation Tax Credit,1091000.0,43096000.00,Servicing,244,0,06/01/2015,N/A,1.758,6
"Diamond Innovations, Inc.",Franklin,43229-1007,JCTC Job Creation Tax Credit,672812.0,14850000.00,Completed,40,405,01/31/2011,45.00,N/A,7
The Procter & Gamble Manufacturing Company,Allen,45801,JCTC Job Creation Tax Credit,1707000.0,501000000.00,Servicing,135,749,04/25/2022,N/A,1.805,9
"Certech, Inc.",Summit,44087,JCTC Job Creation Tax Credit,34270.0,100000.00,Completed,26,34,02/27/2012,50.00,N/A,6
iHealth Solutions LLC,Lawrence,45680,JCTC Job Creation Tax Credit,251185.0,546000.00,Cancelled,75,0,07/28/2014,50.00,N/A,7
"Delaware Art.com, Inc.",Franklin,43137-9302,JCTC Job Creation Tax Credit,86143.0,43500.00,Completed,75,173,06/25/2012,35.00,N/A,5
"TBC Retail Group, Inc.",Franklin,43137-9286,JCTC Job Creation Tax Credit,101166.0,2870000.00,Completed,48,11,02/23/2009,N/A,N/A,5
"SUREnergy, LLC",Erie,44870-8607,JCTC Job Creation Tax Credit,320782.0,1655000.00,Completed,72,0,05/24/2010,50.00,N/A,8
"Westerman, Inc.",Wayne,44691-7521,JCTC Job Creation Tax Credit,433595.0,4354000.00,Completed,60,109,03/25/2013,35.00,N/A,7
Merriman Block,Hardin,43326,Ohio Historic Preservation Tax Credit,43750.0,N/A,Completed,N/A,N/A,06/26/2013,N/A,N/A,N/A
2001 Vine,Hamilton,,Ohio Historic Preservation Tax Credit,245804.0,N/A,Servicing,N/A,N/A,08/05/2020,N/A,N/A,N/A
Crown Equipment Corporation,Auglaize,,JCTC Job Creation Tax Credit,175000.0,15000000.00,Completed,63,120,06/25/2018,N/A,1.309,6
Circle of Confusion LLC,,,Ohio Motion Picture Tax Credit,5000000.0,N/A,Completed,N/A,N/A,08/25/2014,N/A,N/A,N/A
First-Second National Bank Building,Summit,,Ohio Historic Preservation Tax Credit,2437000.0,N/A,Completed,N/A,N/A,06/20/2018,N/A,N/A,N/A
"Honda Development & Manufacturing of America, LLC",Fayette,,JCTC Job Creation Tax Credit,71300000.0,4210000000.00,Approved,2527,8023,10/31/2022,N/A,1.871,30
Manchester Hotel - Dan E. Snider Ford Dealership Bldg.,Butler,,Ohio Historic Preservation Tax Credit,4000000.0,N/A,Cancelled,N/A,N/A,12/17/2020,N/A,N/A,N/A
Riddle Block 9,Portage,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,06/22/2022,N/A,N/A,N/A
Eavey Exchange,Greene,,Ohio Historic Preservation Tax Credit,1110000.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
Tunison Flats,Seneca,,Ohio Historic Preservation Tax Credit,99031.0,N/A,Completed,N/A,N/A,12/20/2016,N/A,N/A,N/A
"Norandex Building Materials Distribution, Inc.",Summit,44236,JCTC Job Creation Tax Credit,55781.0,595000.00,Completed,10,77,04/28/2008,N/A,N/A,5
"IEG Plastics, LLC",Logan,43026,JCTC Job Creation Tax Credit,78938.0,3250000.00,Cancelled,27,1,05/20/2013,40.00,N/A,5
"Fresh Products, LLC",Wood,43551-4544,JCTC Job Creation Tax Credit,405000.0,9500000.00,Approved,91,207,12/09/2019,N/A,1.391,7
